,,,,,,,,,,
PlanNav – Master Question Table (Machine-Readable Flat Export),,,,,,,,,,
question_id,question_set,question_set_label,question_text,legal_clause,clause_meaning,routing_logic,outcome_type,stop_flag,triggers_set,guidance_text
PT2,PT,Project Type,Are you planning a single-storey extension?,"GPDO 2015, Schedule 2, Part 1, Class A","Single-storey extension; max 4m for detached, 3m for others; max 50% of curtilage coverage; PD conditions apply.","If Yes → Permitted Development may apply, building control needed. If No → next question",BRANCH → PS2,NO,PS2 (QS),
PT3,PT,Project Type,Are you planning a multi-storey extension?,"GPDO 2015, Schedule 2, Part 1, Class A / AA",Multi-storey extensions often require permission unless within strict size/height limits; PD restrictions apply.,"If Yes → planning permission required, building control needed. If No → next question",STOP,YES,—,"Multi-storey extensions usually cannot be done under permitted development. You will need full planning permission, and Building Control approval is required to ensure the structure is safe. Professional advice is strongly recommended before starting."
PT4,PT,Project Type,Are you planning a conservatory or sunroom?,"GPDO 2015, Schedule 2, Part 1, Class A",Conservatories treated as single-storey extensions; size limits and PD conditions apply.,"If Yes → PD may apply, building control needed. If No → next question",BRANCH → PS4,NO,PS4 (QS),
PT5,PT,Project Type,Are you planning a new garage or converting an existing garage?,"GPDO 2015, Schedule 2, Part 1, Class E",Outbuildings incidental to dwelling; max 50% of curtilage; height limits apply; PD conditions.,If Yes → PD may apply; building control required if habitable. If No → next question,BRANCH → PS5,NO,PS5 (QS),
PT6,PT,Project Type,"Are you planning any external building like a workshop, garden office, or pool building?","GPDO 2015, Schedule 2, Part 1, Class E","Outbuildings incidental to dwelling; size, height, and location limits; PD conditions apply.",If Yes → PD may apply; building control required if serviced/habitable. If No → next question,BRANCH → PS6,NO,PS6 (QS),
PT7,PT,Project Type,Are you planning to add a balcony?,"GPDO 2015, Schedule 2, Part 1, Class A",Balconies usually not PD; planning permission required; PD only applies for minor roof alterations in limited cases.,If Yes → planning permission and building control required. If No → next question,STOP,YES,—,"Adding a balcony is generally not allowed under permitted development. Planning permission is required, and Building Control approval is needed for structural safety. Seek professional advice to confirm requirements and options."
PT8,PT,Project Type,Are you planning to add a porch?,"GPDO 2015, Schedule 2, Part 1, Class B",Porch permitted up to 3m high and 3m from original dwelling; PD conditions apply.,If Yes → PD may apply if small; building control usually required. If No → next question,BRANCH → PS8,NO,PS8 (QS),
PT9,PT,Project Type,Are you planning an annex or granny flat?,"GPDO 2015, Schedule 2, Part 1, Class E","Ancillary buildings; PD conditions include single-storey, max height, curtilage limits, not in front of principal elevation.",If Yes → PD may apply if ancillary; building control required. If No → next question,BRANCH → PS9,NO,PS9 (QS),
PT10,PT,Project Type,Are you converting a single dwelling into flats or bedsits?,"GPDO 2015, Schedule 2, Part 3, Class L",Change of use from dwelling to multiple dwellings may be permitted in some areas; conditions apply.,If Yes → planning permission and Building Control required. If No → next question,STOP,YES,,Planning permission is required. You cannot use permitted rights. Building Control approval is also required before starting work. Professional advice is recommended.
PT11,PT,Project Type,Are you converting flats into a single dwelling?,"GPDO 2015, Schedule 2, Part 3",Converting multiple dwellings into one may be permitted subject to conditions.,If Yes → may be allowed; Building Control required. If No → next question,BRANCH → PS11,NO,PS11,
PT12,PT,Project Type,Are you converting a single dwelling into a House in Multiple Occupation (HMO)?,"GPDO 2015, Schedule 2, Part 3, Class L",Some HMO conversions may be permitted; local licensing/fire safety conditions apply.,If Yes → planning permission required; check local housing and safety rules. If No → next question,STOP,YES,,Planning permission is required. You must check any local rules for housing or safety. Building Control may also be required. Professional advice is recommended.
PT13,PT,Project Type,Are you converting a commercial building into residential?,"GPDO 2015, Schedule 2, Part 3, Class MA","PD allowed from office to residential under Class MA; conditions include size, prior approval, and limits.",If Yes → submit prior approval application; Building Control required. If No → next question,PRIOR APPROVAL,NO,,You may be able to convert this property under Permitted Development rights. Submit a prior approval application to your council. You can also request a Lawful Development Certificate. Building Control approval may also be required. Professional advice is recommended.
PT14,PT,Project Type,Are you converting space above shops into residential?,"GPDO 2015, Schedule 2, Part 3, Class O",Change of use from commercial/retail to residential may be permitted under Class O; prior approval required.,If Yes → submit prior approval application; Building Control required. If No → next question,PRIOR APPROVAL,NO,,You may be able to convert the space above a shop under Permitted Development rights. Submit a prior approval application to your council. Building Control approval may also be required. Professional advice is recommended.
PT15,PT,Project Type,Are you converting a residential building into commercial use?,"GPDO 2015, Schedule 2, Part 3",Residential to commercial change generally requires planning permission; PD exceptions limited.,If Yes → planning permission and Building Control required. If No → next question,STOP,YES,,Planning permission is required. You cannot use permitted rights. Building Control approval is also required. Professional advice is recommended.
PT16,PT,Project Type,Are you making a general change of use to the property?,"GPDO 2015, Schedule 2, Part 3",Some changes of use may be PD; prior approval and conditions apply.,If Yes → submit prior approval application; Building Control may be required. If No → next question,PRIOR APPROVAL,NO,,Some general changes of use may be allowed without full planning permission. Submit a prior approval application to your council. Building Control may also be required. Professional advice is recommended.
PT17,PT,Project Type,Will your project involve demolishing a building?,"GPDO 2015, Schedule 2, Part 11 / local planning rules",Demolition often requires permission; PD does not generally cover demolition in conservation areas.,If Yes → planning permission often required; building control required. If No → next question,STOP,YES,,"Planning permission is often required, particularly in conservation areas. Building Control approval is also required. Professional advice is recommended to ensure all requirements are met."
PT18,PT,Project Type,"Will your project involve other site works like fences, walls, gates, or driveways?","GPDO 2015, Schedule 2, Part 2, Classes A & F","Minor operations (fences, walls, gates) and hard surfaces may be PD; limits on height, location, and materials apply.",If Yes → some works may be permitted; check height/SuDS; building control rarely applies. If No → next question,MAY BE PD,NO,,"Some minor site works may be allowed without full planning permission. You should check local rules on height, location, and materials. Building Control rarely applies. Professional advice is recommended if unsure."
PS1-01,PS1,Project Specific: Loft Extension,"Is the loft a Mansard roof (a roof with two slopes on each side, the lower one being steeper)?","GPDO 2015, Sch 2, Part 1, Class A",Certain roof types may remove PD eligibility.,If Yes → planning permission required; If No → continue,STOP,YES,,"Mansard roofs are not allowed under permitted development rights. Planning permission is required, and professional advice is recommended to confirm requirements."
PS1-02,PS1,Project Specific: Loft Extension,Does the loft raise the height of the walls at the edge of the roof (eaves) above the original?,"GPDO 2015, Sch 2, Part 1, Class A",Increasing eaves above original height may remove PD.,If Yes → planning permission required; If No → continue,STOP,YES,,"Raising the eaves above the original height removes permitted development rights. Planning permission is required, and professional advice is recommended."
PS1-03,PS1,Project Specific: Loft Extension,Will the total new space created by the loft exceed 40m³ in a conservation area or 50m³ elsewhere?,"GPDO 2015, Sch 2, Part 1, Class A","Volume limits: 40m³ in conservation, 50m³ elsewhere.","If Yes → planning permission required; If No → generally allowed, building control required",STOP / CONTINUE,YES,,"If the total new loft space exceeds 40m³ in a conservation area or 50m³ elsewhere → planning permission is required. If it is under these limits → generally allowed, but Building Control approval may still be needed."
PS1-04,PS1,Project Specific: Loft Extension,Is your property in a conservation area or a listed building (protected for historic or architectural interest)?,Planning (Listed Buildings and Conservation Areas) Act 1990,Works in conservation areas or listed buildings are restricted.,If Yes → planning permission / LDC required; If No → continue,STOP,YES,,"If the property is in a conservation area or is listed, permitted development rights do not apply. Submit a Lawful Development Certificate or planning application. Professional advice is recommended."
PS2-01,PS2,Project Specific: Single-storey Extension,"Will the extension project more than 4m if detached, or 3m if semi/terraced?","GPDO 2015, Sch 2, Part 1, Class A",Projection limits differ by property type.,If Yes → planning permission required; If No → continue,STOP,YES,,"If the extension projects more than 4m (detached) or 3m (semi/terraced), planning permission is required. Professional advice is recommended to confirm limits."
PS2-02,PS2,Project Specific: Single-storey Extension,Will the extension exceed 4m in height?,"GPDO 2015, Sch 2, Part 1, Class A",Height limit: 4m for single-storey.,If Yes → planning permission required; If No → continue,STOP,YES,,"Single-storey extensions over 4m high are not allowed under permitted development rights. Planning permission is required, and professional advice is recommended."
PS2-03,PS2,Project Specific: Single-storey Extension,Will the total area of extensions and outbuildings exceed 50% of the garden/curtilage?,"GPDO 2015, Sch 2, Part 1, Class A",Total extension must not cover more than 50% of curtilage.,If Yes → planning permission required; If No → continue,STOP,YES,,"If the total area of extensions and outbuildings exceeds 50% of the curtilage, planning permission is required. Professional advice is recommended if unsure."
PS2-04,PS2,Project Specific: Single-storey Extension,Is the extension at the rear of the property and not in front of the main elevation?,"GPDO 2015, Sch 2, Part 1, Class A",Must be to rear; not in front of main elevation.,If No → planning permission required; If Yes → continue,STOP (if No),YES,,Extensions must be to the rear of the property. Front extensions require planning permission. Professional advice is recommended.
PS2-05,PS2,Project Specific: Single-storey Extension,Is your property in a conservation area or a listed building (protected for historic or architectural interest)?,Planning (Listed Buildings and Conservation Areas) Act 1990,Extensions in conservation areas or on listed buildings are restricted.,If Yes → planning permission / LDC required; If No → continue,STOP,YES,,Properties in conservation areas or listed buildings cannot rely on permitted development rights. Submit a Lawful Development Certificate or planning application. Professional advice is recommended.
PS4-01,PS4,Project Specific: Conservatory / Sunroom,"Will the conservatory project more than 4m if detached, or 3m if semi/terraced?","GPDO 2015, Sch 2, Part 1, Class A","Max projection: 4m for detached, 3m for others.",If Yes → planning permission required; If No → continue,STOP,YES,,"If the conservatory projects more than the allowed distance, planning permission is required. Professional advice is recommended to confirm measurements."
PS4-02,PS4,Project Specific: Conservatory / Sunroom,Will the conservatory exceed 4m in height?,"GPDO 2015, Sch 2, Part 1, Class A",Height limit: 4m (single-storey).,If Yes → planning permission required; If No → continue,STOP,YES,,Conservatories over 4 metres in height require planning permission. Professional advice is recommended to confirm height measurements.
PS4-03,PS4,Project Specific: Conservatory / Sunroom,Will the total area of the conservatory plus other extensions/outbuildings exceed 50% of the garden/curtilage?,"GPDO 2015, Sch 2, Part 1, Class A",Total area of extensions/outbuildings must not exceed 50% of curtilage.,If Yes → planning permission required; If No → continue,STOP,YES,,"If extensions and outbuildings cover more than half of the original garden area, planning permission is required. Professional advice is recommended if boundaries or previous works are unclear."
PS4-04,PS4,Project Specific: Conservatory / Sunroom,Is any part of the conservatory within 2m of the side boundary and taller than 2.5m?,"GPDO 2015, Sch 2, Part 1, Class A",Must be at least 2m from side boundaries if height >2.5m.,If Yes → planning permission required; If No → continue,STOP,YES,,"If the conservatory is close to a boundary and exceeds the height limit, planning permission is required. Professional advice is recommended where boundary positions are uncertain."
PS4-05,PS4,Project Specific: Conservatory / Sunroom,Is your property in a conservation area or a listed building?,Planning (Listed Buildings and Conservation Areas) Act 1990,Conservatories in conservation areas or on listed buildings are restricted.,"If Yes → PD does not apply, LDC / planning permission required; If No → continue",STOP,YES,,Properties in conservation areas or listed buildings cannot rely on permitted development rights. Submit a Lawful Development Certificate or planning application.
PS5-01,PS5,Project Specific: Garage / Garage Conversion,"Will the garage be converted into a habitable space (bedroom, office, etc.) or serviced (plumbing, kitchen, etc.)?","GPDO 2015, Sch 2, Part 1, Class E",Habitable or serviced outbuildings may require building control.,If Yes → building control required; planning rules depend on other limits. If No → continue,BUILDING CONTROL,NO,,Converting a garage into a habitable or serviced space normally requires Building Control approval to ensure safety and energy standards are met. Planning permission may still not be required if all other limits are met. Professional advice is recommended.
PS5-02,PS5,Project Specific: Garage / Garage Conversion,Will the garage exceed 4m in height (or 3m if within 2m of boundary)?,"GPDO 2015, Sch 2, Part 1, Class E",Height limit: 4m (3m if within 2m of boundary).,If Yes → planning permission required; If No → continue,STOP,YES,,"If the garage exceeds the allowed height, planning permission is required. Professional advice is recommended where measurements or boundary positions are unclear."
PS5-03,PS5,Project Specific: Garage / Garage Conversion,Will the total area of the garage plus other outbuildings/extensions exceed 50% of the garden/curtilage?,"GPDO 2015, Sch 2, Part 1, Class E",Total outbuildings must not cover more than 50% of curtilage.,If Yes → planning permission required; If No → continue,STOP,YES,,"If outbuildings and extensions cover more than half of the original garden area, planning permission is required. Professional advice is recommended if previous works are uncertain."
PS5-04,PS5,Project Specific: Garage / Garage Conversion,Will the garage be used as a separate dwelling or business?,"GPDO 2015, Sch 2, Part 1, Class E",Must remain incidental to dwelling.,If Yes → planning permission required; If No → continue,STOP,YES,,Using a garage as a separate home or business is not automatically allowed and planning permission is required. Professional advice is recommended to confirm acceptable use.
PS5-05,PS5,Project Specific: Garage / Garage Conversion,Is your property in a conservation area or a listed building?,Planning (Listed Buildings and Conservation Areas) Act 1990,Works in conservation areas or on listed buildings are restricted.,"If Yes → PD does not apply, LDC / planning permission required; If No → continue",STOP,YES,,Properties in conservation areas or listed buildings cannot rely on permitted development rights. Submit a Lawful Development Certificate or planning application.
PS6-01,PS6,Project Specific: External Building,"Will the building be habitable or include services (plumbing, kitchen, heating, electrics)?","GPDO 2015, Sch 2, Part 1, Class E",Habitable or serviced buildings require building control.,If Yes → building control required; planning rules depend on other limits. If No → continue,BUILDING CONTROL,NO,,"If the building will be used as a habitable space or includes services, Building Control approval is normally required. Planning permission may still not be required if all other limits are met. Professional advice is recommended."
PS6-02,PS6,Project Specific: External Building,Will the building exceed 4m in height (or 3m if within 2m of a boundary)?,"GPDO 2015, Sch 2, Part 1, Class E",Max height: 4m (3m if within 2m of boundary).,If Yes → planning permission required; If No → continue,STOP,YES,,Buildings that exceed the height limits require planning permission. Professional advice is recommended where height measurements or boundary distances are unclear.
PS6-03,PS6,Project Specific: External Building,Will the total area of this building plus other extensions/outbuildings exceed 50% of the garden/curtilage?,"GPDO 2015, Sch 2, Part 1, Class E",Total outbuildings must not cover more than 50% of curtilage.,If Yes → planning permission required; If No → continue,STOP,YES,,"If outbuildings and extensions cover more than half of the original garden area, planning permission is required. Professional advice is recommended if previous development is unclear."
PS6-04,PS6,Project Specific: External Building,Is the building located at the rear or side of the house and at least 2m from any side boundary if taller than 2.5m?,"GPDO 2015, Sch 2, Part 1, Class E",Must not be in front of the house; maintain distance from boundaries.,If No → planning permission required; If Yes → continue,STOP (if No),YES,,Buildings located in front of the house or too close to boundaries require planning permission. Professional advice is recommended where site layout or boundaries are uncertain.
PS6-05,PS6,Project Specific: External Building,Is your property in a conservation area or a listed building?,Planning (Listed Buildings and Conservation Areas) Act 1990,Outbuildings in conservation areas or on listed buildings are restricted.,"If Yes → PD does not apply, LDC / planning permission required; If No → continue",STOP,YES,,Properties in conservation areas or listed buildings cannot rely on permitted development rights. Submit a Lawful Development Certificate or planning application.
PS8-01,PS8,Project Specific: Porch,Will the porch project more than 3m from the original wall?,"GPDO 2015, Sch 2, Part 1, Class B",Max projection: 3m.,If Yes → planning permission required; If No → continue,STOP,YES,,"If the porch projects more than 3 metres from the original wall, planning permission is required. Professional advice is recommended if measurements are unclear."
PS8-02,PS8,Project Specific: Porch,Will the porch exceed 3m in height?,"GPDO 2015, Sch 2, Part 1, Class B",Max height: 3m.,If Yes → planning permission required; If No → continue,STOP,YES,,Porches taller than 3 metres require planning permission. Professional advice is recommended to confirm height.
PS8-03,PS8,Project Specific: Porch,Will the porch cover more than 50% of the frontage of the house?,"GPDO 2015, Sch 2, Part 1, Class B",Must not cover more than 50% of the frontage.,If Yes → planning permission required; If No → continue,STOP,YES,,"If the porch would cover more than half of the frontage of the house, planning permission is required. Professional advice is recommended if frontage boundaries are unclear."
PS8-04,PS8,Project Specific: Porch,Is your property in a conservation area or a listed building?,Planning (Listed Buildings and Conservation Areas) Act 1990,Works in conservation areas or on listed buildings are restricted.,"If Yes → PD does not apply, LDC / planning permission required; If No → continue",STOP,YES,,Properties in conservation areas or listed buildings cannot rely on permitted development rights. Submit a Lawful Development Certificate or planning application.
PS9-01,PS9,Project Specific: Annex / Granny Flat,Will the building be used as a separate dwelling or business?,"GPDO 2015, Sch 2, Part 1, Class E",Must be ancillary to main dwelling.,If Yes → planning permission required; If No → continue,STOP,YES,,The annex must not be used as a separate dwelling or business. Professional advice is recommended if intended use is unclear.
PS9-02,PS9,Project Specific: Annex / Granny Flat,Will the annex be more than one storey?,"GPDO 2015, Sch 2, Part 1, Class E",PD applies only for single-storey.,If Yes → planning permission required; If No → continue,STOP,YES,,Annexes taller than one storey require planning permission. Professional advice is recommended if plans are ambiguous.
PS9-03,PS9,Project Specific: Annex / Granny Flat,Will the annex exceed 4 metres in height (or 3 metres if within 2 metres of a boundary)?,"GPDO 2015, Sch 2, Part 1, Class E","Maximum height: 4m, 3m if within 2m of boundary.",If Yes → planning permission required; If No → continue,STOP,YES,,Buildings exceeding these heights require planning permission. Professional advice is recommended for exact measurement.
PS9-04,PS9,Project Specific: Annex / Granny Flat,Will the total area of the annex plus other outbuildings/extensions exceed 50% of the garden/curtilage?,"GPDO 2015, Sch 2, Part 1, Class E",Must not cover more than 50% of the garden/curtilage.,If Yes → planning permission required; If No → continue,STOP,YES,,Annex plus other outbuildings must not exceed half of the garden. Professional advice recommended if boundaries are unclear.
PS9-05,PS9,Project Specific: Annex / Granny Flat,Is the annex located at the front of the main dwelling?,"GPDO 2015, Sch 2, Part 1, Class E",Must be at rear or side of main dwelling.,If Yes → planning permission required; If No → continue,STOP (if Yes),YES,,Annexes in front of the main dwelling are not PD. Professional advice is recommended if site layout is unclear.
PS9-06,PS9,Project Specific: Annex / Granny Flat,Is your property in a conservation area or a listed building?,Planning (Listed Buildings and Conservation Areas) Act 1990,Ancillary buildings in conservation areas or on listed buildings are restricted.,"If Yes → PD does not apply, LDC / planning permission required; If No → continue",STOP,YES,,Properties in conservation areas or listed buildings cannot rely on permitted development rights. Submit a Lawful Development Certificate or planning application.
PS11-01,PS11,Project Specific: Flat Conversion (Multiple Flats to One Home),Are you converting more than one flat into a single home?,"GPDO 2015, Schedule 2, Part 3",The use of a building as a single dwellinghouse instead of multiple flats can be permitted.,If Yes → the change of use is permitted development; Building Control approval is required; If No → continue,PD / BUILDING CONTROL,NO,,"Converting more than one flat into a single home is allowed as permitted development, provided no other works require planning permission. Building Control approval is always required, and professional advice is recommended to confirm compliance."
PS11-02,PS11,Project Specific: Flat Conversion (Multiple Flats to One Home),"Will any extension exceed 4 metres in height, or 3 metres if it is within 2 metres of a boundary?","GPDO 2015, Schedule 2, Part 3",Height restrictions apply to extensions.,If Yes → planning permission required; If No → continue,STOP,YES,,Extensions that exceed these height limits are not allowed under permitted development. Professional advice is recommended if measurements are unclear.
PS11-03,PS11,Project Specific: Flat Conversion (Multiple Flats to One Home),Will extensions and outbuildings cover more than 50 percent of the garden or curtilage?,"GPDO 2015, Schedule 2, Part 3",Extensions must not cover more than half of the garden.,If Yes → planning permission required; If No → continue,STOP,YES,,The total area of extensions and outbuildings must not cover more than half of the garden. Professional advice is recommended if boundaries are unclear.
PS11-04,PS11,Project Specific: Flat Conversion (Multiple Flats to One Home),Will any extension be more than one storey?,"GPDO 2015, Schedule 2, Part 3",Extensions are limited by number of storeys.,If Yes → planning permission required; If No → continue,STOP,YES,,Extensions of more than one storey are not allowed under permitted development. Professional advice is recommended.
PS11-05,PS11,Project Specific: Flat Conversion (Multiple Flats to One Home),"Will the conversion involve external changes such as new windows, doors, extensions, or changes to the roof?","GPDO 2015, Schedule 2, Part 3",External changes may require planning permission.,If Yes → planning permission may be required; If No → continue,STOP,YES,,"External changes are likely to require planning permission if they alter the appearance of the building, add new openings, extend the building, or affect the front or roof. Professional advice is recommended before making any external changes."
PS11-06,PS11,Project Specific: Flat Conversion (Multiple Flats to One Home),Does the conversion involve structural work?,"GPDO 2015, Schedule 2, Part 3",Structural alterations require Building Control approval.,If Yes → Building Control approval required; If No → continue,BUILDING CONTROL,NO,,Any structural changes must meet Building Control requirements. Professional advice is recommended.
PS11-07,PS11,Project Specific: Flat Conversion (Multiple Flats to One Home),"Will the conversion affect fire safety or access, for example where the building has more than one storey?","GPDO 2015, Schedule 2, Part 3",Fire safety and access standards must be met.,If Yes → Building Control approval or professional advice required; If No → continue,BUILDING CONTROL,NO,,"Fire safety and safe access must be addressed as part of the conversion. Building Control approval is required, and professional advice is strongly recommended."
T1,T,Site Checks & Considerations,Is your site in a flood risk area?,Environmental legislation / Building Regs,PD rights may be limited in flood risk areas; Building Control requirements may change.,If Yes → flood risk assessment may be required; affects building control. If No → continue,SPECIALIST ASSESSMENT,NO,,"If your site is in a flood risk area, a Flood Risk Assessment may be required to comply with regulations and ensure safe design. Building Control requirements may change. Professional advice is recommended."
T2,T,Site Checks & Considerations,"Will your project affect highway access, parking, or visibility?",Highways Act / Local Planning Conditions,PD rights may be restricted if highway safety impacted; approval required.,If Yes → transport assessment or highways approval may be required. If No → continue,SPECIALIST ASSESSMENT,NO,,"If your project affects access, parking, or visibility, a transport assessment or highways approval may be needed to protect safety. Professional advice is recommended."
T3,T,Site Checks & Considerations,Is your site potentially contaminated?,Environmental Protection Act / Local Conditions,PD rights may be restricted on contaminated sites; investigation/remediation may be required.,If Yes → site investigation or remediation may be required. If No → continue,SPECIALIST ASSESSMENT,NO,,"If your site may be contaminated, a site investigation or remediation may be required to make it safe. Professional advice is recommended."
T4,T,Site Checks & Considerations,"Will your project affect protected habitats, ecology, or trees?",Wildlife & Countryside Act 1981 / Tree Preservation Orders,"PD rights limited if protected species, habitats, or trees affected; surveys may be required.",If Yes → ecological survey or arboricultural assessment may be required. If No → continue,SPECIALIST ASSESSMENT,NO,,"If your project affects habitats, protected species, or trees, an ecological survey or arboricultural assessment may be required. Professional advice is recommended."
T5,T,Site Checks & Considerations,Is your site in an area of archaeological interest?,Ancient Monuments & Archaeological legislation,PD rights restricted if archaeological interest present; assessment may be required.,If Yes → desk-based or on-site archaeological assessment may be required. If No → continue,SPECIALIST ASSESSMENT,NO,,"If your site is in an area of archaeological interest, a desk-based or on-site archaeological assessment may be required. Professional advice is recommended."
