Rules & Guidance,,Miro Board,,,,,,,
,,,,,,,,,
Reference,Original Statement,Clause Reference,Clause Text,New Question,Yes Logic/Result,Stop,Guidance,Trigger Questions,John's Notes
PT4,The project includes a multi-storey extension. Planning permission required; Building Control required.,"GPDO 2015, Schedule 2, Part 1, Class A",Conservatories treated as single-storey extensions; size limits and PD conditions apply.,Are you planning a conservatory or sunroom?,"If Yes ? PD may apply, building control needed.",,,PS4 (QS),
PT5,The project includes a garage or conversion of a garage. Permitted Development may apply; Building Control required if habitable.,"GPDO 2015, Schedule 2, Part 1, Class E",Outbuildings incidental to dwelling; max 50% of curtilage; height limits apply; PD conditions.,Are you planning a new garage or converting an existing garage?,If Yes ? PD may apply; building control required if habitable.,,,PS5 (QS),
PT6,"The project includes an external building (workshop, garden office, pool building). Permitted Development may apply; Building Control required if serviced/habitable. Consider LDC to confirm.","GPDO 2015, Schedule 2, Part 1, Class E","Outbuildings incidental to dwelling; size, height, and location limits; PD conditions apply.","Are you planning any external building like a workshop, garden office, or pool building?",If Yes ? PD may apply; building control required if serviced/habitable.,,,PS6 (QS),
PT7,The project includes a balcony. Planning permission required; Building Control required for structural load.,"GPDO 2015, Schedule 2, Part 1, Class A (roof alterations may include balconies)",Balconies usually not PD; planning permission required; PD only applies for minor roof alterations in limited cases.,Are you planning to add a balcony?,If Yes ? planning permission and building control required.,Yes,"Adding a balcony is generally not allowed under permitted development. Planning permission is required, and Building Control approval is needed for structural safety. Seek professional advice to confirm requirements and options.",—,
PT8,The project includes a porch. Permitted Development may apply if small; Building Control usually required.,"GPDO 2015, Schedule 2, Part 1, Class B",Porch permitted up to 3m high and 3m from original dwelling; PD conditions apply.,Are you planning to add a porch?,If Yes ? PD may apply if small; building control usually required.,,,PS8 (QS),
PT9,The project includes an annex or granny flat. Permitted Development may apply if ancillary; Building Control required.,"GPDO 2015, Schedule 2, Part 1, Class E","Ancillary buildings; PD conditions include single-storey, max height, curtilage limits, not in front of principal elevation.",Are you planning an annex or granny flat?,If Yes ? PD may apply if ancillary; building control required.,,,PS9 (QS),
Conversions & Change of Use,,,,,,,,,
PT10,The project converts a single dwelling into flats or bedsits. Planning permission required; Building Control required.,"GPDO 2015, Schedule 2, Part 3, Class L",Change of use from dwelling to multiple dwellings may be permitted in some areas; conditions apply.,Are you converting a single dwelling into flats or bedsits?,If Yes ? planning permission and Building Control required.,Yes,Planning permission is required. You cannot use permitted rights. Building Control approval is also required before starting work. Professional advice is recommended.,,
PT11,The project converts flats into a single dwelling. May be Permitted Development; Building Control required.,"GPDO 2015, Schedule 2, Part 3",Converting multiple dwellings into one may be permitted subject to conditions.,Are you converting flats into a single dwelling?,If Yes ? may be allowed; Building Control required.,,,PS11,
PT12,"The project converts a single dwelling into a House in Multiple Occupation (HMO). Planning permission required, check licensing and fire safety.","GPDO 2015, Schedule 2, Part 3, Class L",Some HMO conversions may be permitted; local licensing/fire safety conditions apply.,Are you converting a single dwelling into a House in Multiple Occupation (HMO)?,If Yes ? planning permission required; check local housing and safety rules.,Yes,Planning permission is required. You must check any local rules for housing or safety. Building Control may also be required. Professional advice is recommended.,,
PT13,The project converts a commercial building into residential. Permitted Development possible under Class MA; Building Control required. Consider LDC to confirm.,"GPDO 2015, Schedule 2, Part 3, Class MA","Permitted development allowed from office to residential under Class MA; conditions include size, prior approval, and limits.",Are you converting a commercial building into residential?,If Yes ? submit prior approval application; Building Control required.,,"You may be able to convert this property under Permitted Development rights. Submit a prior approval application to your council — this checks whether specific impacts are acceptable. You can also request a Lawful Development Certificate, which confirms the conversion is allowed. Building Control approval may also be required. Professional advice is recommended.",,
PT14,The project converts space above shops into residential. Permitted Development may apply; Building Control required.,"GPDO 2015, Schedule 2, Part 3, Class O",Change of use from commercial/retail to residential may be permitted under Class O; prior approval required.,Are you converting space above shops into residential?,If Yes ? submit prior approval application; Building Control required.,,You may be able to convert the space above a shop under Permitted Development rights. Submit a prior approval application to your council to confirm the conversion is acceptable. You can also request a Lawful Development Certificate confirming the conversion is allowed. Building Control approval may also be required. Professional advice is recommended.,,
PT15,The project converts a residential building into commercial. Planning permission required; Building Control required.,"GPDO 2015, Schedule 2, Part 3",Residential to commercial change generally requires planning permission; permitted development exceptions limited.,Are you converting a residential building into commercial use?,If Yes ? planning permission and Building Control required.,Yes,Planning permission is required. You cannot use permitted rights. Building Control approval is also required. Professional advice is recommended.,,
PT16,The project is a general change of use. Some changes may be Permitted Development; Building Control may apply.,"GPDO 2015, Schedule 2, Part 3",Some changes of use may be permitted; prior approval and conditions apply.,Are you making a general change of use to the property?,If Yes ? submit prior approval application; Building Control may be required.,,Some general changes of use may be allowed without full planning permission. Submit a prior approval application to your council to confirm. You can also request a Lawful Development Certificate confirming the change is allowed. Building Control may also be required. Professional advice is recommended.,,
Question Set: Demolition & Site Works,,,,,,,,,
PT17,The project involves demolishing a building. Often requires planning (especially in conservation areas); Building Control required.,"GPDO 2015, Schedule 2, Part 11 / local planning rules",Demolition often requires permission; PD does not generally cover demolition in conservation areas.,Will your project involve demolishing a building?,If Yes ? planning permission often required; building control required.,Yes,"Planning permission is often required, particularly in conservation areas. Building Control approval is also required. Professional advice is recommended to ensure all requirements are met.",,
PT18,"The project involves other site works (fences, walls, gates, driveways). Some works permitted; check height/SuDS; Building Control rarely applies.","GPDO 2015, Schedule 2, Part 2, Classes A & F","Minor operations (fences, walls, gates) and hard surfaces may be PD; limits on height, location, and materials apply.","Will your project involve other site works like fences, walls, gates, or driveways?",If Yes ? some works may be permitted; check height/SuDS; building control rarely applies.,,"Some minor site works may be allowed without full planning permission. You should check local rules on height, location, and materials. Building Control rarely applies. Professional advice is recommended if unsure.",,
Question Set: Site Checks & Considerations,,,,,,,,,
T1,The site is in a flood risk area. Flood Risk Assessment may be required; affects Building Control design.,Environmental legislation / Building Regs,PD rights may be limited in flood risk areas; Building Control requirements may change.,Is your site in a flood risk area?,If Yes ? flood risk assessment may be required; affects building control.,,"If your site is in a flood risk area, a Flood Risk Assessment may be required to comply with regulations and ensure safe design. Building Control requirements may change. Professional advice is recommended.",,
T2,"The project affects highway access, parking, or visibility. Transport assessment or highways approval may be required.",Highways Act / Local Planning Conditions,PD rights may be restricted if highway safety impacted; approval required.,"Will your project affect highway access, parking, or visibility?",If Yes ? transport assessment or highways approval may be required.,,"If your project affects access, parking, or visibility, a transport assessment or highways approval may be needed to protect safety. Professional advice is recommended.",,
T3,The site is potentially contaminated. Site investigation or remediation may be required.,Environmental Protection Act / Local Conditions,PD rights may be restricted on contaminated sites; investigation/remediation may be required.,Is your site potentially contaminated?,If Yes ? site investigation or remediation may be required.,,"If your site may be contaminated, a site investigation or remediation may be required to make it safe. Professional advice is recommended.",,
T4,"The project affects protected habitats, ecology, or trees. Ecological survey or Arboricultural Impact Assessment may be required.",Wildlife & Countryside Act 1981 / Tree Preservation Orders,"PD rights limited if protected species, habitats, or trees affected; surveys may be required.","Will your project affect protected habitats, ecology, or trees?",If Yes ? ecological survey or arboricultural assessment may be required.,,"If your project affects habitats, protected species, or trees, an ecological survey or arboricultural assessment may be required. Professional advice is recommended.",,
T5,The site is in an area of archaeological interest. Desk-based or on-site archaeological assessment may be required.,Ancient Monuments & Archaeological legislation,PD rights restricted if archaeological interest present; assessment may be required.,Is your site in an area of archaeological interest?,If Yes ? desk-based or on-site archaeological assessment may be required.,,"If your site is in an area of archaeological interest, a desk-based or on-site archaeological assessment may be required. Professional advice is recommended.",,
Question Set: Loft Extension (PS1),,,,,,,,,
PS1-01,Loft Extension – Roof Type,"GPDO 2015, Sch 2, Part 1, Class A",Certain roof types may remove PD eligibility,"Is the loft a Mansard roof (a roof with two slopes on each side, the lower one being steeper)?",If Yes ? planning permission required; If No ? continue,Yes,"Mansard roofs are not allowed under permitted development rights. Planning permission is required, and professional advice is recommended to confirm requirements.",,
PS1-02,Loft Extension – Eaves Height,"GPDO 2015, Sch 2, Part 1, Class A",Increasing eaves above original height may remove PD,Does the loft raise the height of the walls at the edge of the roof (eaves) above the original?,If Yes ? planning permission required; If No ? continue,Yes,"Raising the eaves above the original height removes permitted development rights. Planning permission is required, and professional advice is recommended.",,
PS1-03,Loft Extension – Dormer / Roof Volume,"GPDO 2015, Sch 2, Part 1, Class A","Volume limits: 40m³ in conservation, 50m³ elsewhere",Will the total new space created by the loft exceed 40m³ in a conservation area or 50m³ elsewhere?,"If Yes ? planning permission required; If No ? generally allowed, building control required",,"If the total new loft space exceeds 40m³ in a conservation area or 50m³ elsewhere ? planning permission is required. If it is under these limits ? generally allowed, but Building Control approval may still be needed. Professional advice is recommended if unsure or in a conservation area.",,
PS1-04,Loft Extension – Conservation / Listed,Planning (Listed Buildings and Conservation Areas) Act 1990,Works in conservation areas or listed buildings are restricted,Is your property in a conservation area or a listed building (protected for historic or architectural interest)?,If Yes ? planning permission / LDC required; If No ? continue,Yes,"If the property is in a conservation area or is listed, permitted development rights do not apply. Submit a Lawful Development Certificate or planning application. Professional advice is recommended.",,
Question Set: Single-storey Extension (PS2),,,,,,,,,
PS2-01,Extension – Max Projection,"GPDO 2015, Sch 2, Part 1, Class A",Projection limits differ by property type,"Will the extension project more than 4m if detached, or 3m if semi/terraced?",If Yes ? planning permission required; If No ? continue,Yes,"If the extension projects more than 4m (detached) or 3m (semi/terraced), planning permission is required. Professional advice is recommended to confirm limits.",,
PS2-02,Extension – Max Height,"GPDO 2015, Sch 2, Part 1, Class A",Height limit: 4m for single-storey,Will the extension exceed 4m in height?,If Yes ? planning permission required; If No ? continue,Yes,"Single-storey extensions over 4m high are not allowed under permitted development rights. Planning permission is required, and professional advice is recommended.",,
PS2-03,Extension – Curtilage Coverage,"GPDO 2015, Sch 2, Part 1, Class A",Total extension must not cover more than 50% of curtilage,Will the total area of extensions and outbuildings exceed 50% of the garden/curtilage?,If Yes ? planning permission required; If No ? continue,Yes,"If the total area of extensions and outbuildings exceeds 50% of the curtilage, planning permission is required. Professional advice is recommended if unsure.",,
PS2-04,Extension – Location,"GPDO 2015, Sch 2, Part 1, Class A",Must be to rear; not in front of main elevation,Is the extension at the rear of the property and not in front of the main elevation?,If No ? planning permission required; If Yes ? continue,Yes,Extensions must be to the rear of the property. Front extensions require planning permission. Professional advice is recommended.,,
PS2-05,Extension – Conservation / Listed,Planning (Listed Buildings and Conservation Areas) Act 1990,Extensions in conservation areas or on listed buildings are restricted,Is your property in a conservation area or a listed building (protected for historic or architectural interest)?,If Yes ? planning permission / LDC required; If No ? continue,Yes,Properties in conservation areas or listed buildings cannot rely on permitted development rights. Submit a Lawful Development Certificate or planning application. Professional advice is recommended.,,
Question Set: Conservatory / Sunroom (PS4),,,,,,,,,
PS4-01,Conservatory – Max Projection,"GPDO 2015, Sch 2, Part 1, Class A","Max projection: 4m for detached, 3m for others","Will the conservatory project more than 4m if detached, or 3m if semi/terraced?",If Yes ? planning permission required; If No ? continue,Yes,"If the conservatory projects more than the allowed distance, planning permission is required. Professional advice is recommended to confirm measurements.",,
PS4-02,Conservatory – Max Height,"GPDO 2015, Sch 2, Part 1, Class A",Height limit: 4m (single-storey),Will the conservatory exceed 4m in height?,If Yes ? planning permission required; If No ? continue,Yes,Conservatories over 4 metres in height require planning permission. Professional advice is recommended to confirm height measurements.,,
PS4-03,Conservatory – Curtilage Coverage,"GPDO 2015, Sch 2, Part 1, Class A",Total area of extensions/outbuildings must not exceed 50% of curtilage,Will the total area of the conservatory plus other extensions/outbuildings exceed 50% of the garden/curtilage?,If Yes ? planning permission required; If No ? continue,Yes,"If extensions and outbuildings cover more than half of the original garden area, planning permission is required. Professional advice is recommended if boundaries or previous works are unclear.",,
PS4-04,Conservatory – Distance from Boundary,"GPDO 2015, Sch 2, Part 1, Class A",Must be at least 2m from side boundaries if height >2.5m,Is any part of the conservatory within 2m of the side boundary and taller than 2.5m?,If Yes ? planning permission required; If No ? continue,Yes,"If the conservatory is close to a boundary and exceeds the height limit, planning permission is required. Professional advice is recommended where boundary positions are uncertain.",,
Question Set: Garage / Conversion (PS5),,,,,,,,,
PS5-01,Garage / Conversion – Habitable Status,"GPDO 2015, Sch 2, Part 1, Class E",Habitable or serviced outbuildings may require building control,"Will the garage be converted into a habitable space (bedroom, office, etc.) or serviced (plumbing, kitchen, etc.)?",If Yes ? building control required; planning rules depend on other limits,,Converting a garage into a habitable or serviced space normally requires Building Control approval to ensure safety and energy standards are met. Planning permission may still not be required if all other limits are met. Professional advice is recommended.,,
PS5-02,Garage / Conversion – Max Height,"GPDO 2015, Sch 2, Part 1, Class E",Height limit: 4m (3m if within 2m of boundary),Will the garage exceed 4m in height (or 3m if within 2m of boundary)?,If Yes ? planning permission required; If No ? continue,Yes,"If the garage exceeds the allowed height, planning permission is required. Professional advice is recommended where measurements or boundary positions are unclear.",,
PS5-03,Garage / Conversion – Curtilage Coverage,"GPDO 2015, Sch 2, Part 1, Class E",Total outbuildings must not cover more than 50% of curtilage,Will the total area of the garage plus other outbuildings/extensions exceed 50% of the garden/curtilage?,If Yes ? planning permission required; If No ? continue,Yes,"If outbuildings and extensions cover more than half of the original garden area, planning permission is required. Professional advice is recommended if previous works are uncertain.",,
PS5-04,Garage / Conversion – Ancillary Use,"GPDO 2015, Sch 2, Part 1, Class E",Must remain incidental to dwelling,Will the garage be used as a separate dwelling or business?,If Yes ? planning permission required; If No ? continue,Yes,Using a garage as a separate home or business is not automatically allowed and planning permission is required. Professional advice is recommended to confirm acceptable use.,,
Question Set: External Building (PS6),,,,,,,,,
PS6-01,External Building – Habitable / Serviced,"GPDO 2015, Sch 2, Part 1, Class E",Habitable or serviced buildings require building control,"Will the building be habitable or include services (plumbing, kitchen, heating, electrics)?",If Yes ? building control required; planning rules depend on other limits,,"If the building will be used as a habitable space or includes services, Building Control approval is normally required to ensure safety and energy standards are met. Planning permission may still not be required if all other limits are met. Professional advice is recommended.",,
PS6-02,External Building – Max Height,"GPDO 2015, Sch 2, Part 1, Class E",Max height: 4m (3m if within 2m of boundary),Will the building exceed 4m in height (or 3m if within 2m of a boundary)?,If Yes ? planning permission required; If No ? continue,Yes,Buildings that exceed the height limits require planning permission. Professional advice is recommended where height measurements or boundary distances are unclear.,,
PS6-03,External Building – Curtilage Coverage,"GPDO 2015, Sch 2, Part 1, Class E",Total outbuildings must not cover more than 50% of curtilage,Will the total area of this building plus other extensions/outbuildings exceed 50% of the garden/curtilage?,If Yes ? planning permission required; If No ? continue,Yes,"If outbuildings and extensions cover more than half of the original garden area, planning permission is required. Professional advice is recommended if previous development is unclear.",,
PS6-04,External Building – Location,"GPDO 2015, Sch 2, Part 1, Class E",Must not be in front of the house; maintain distance from boundaries,Is the building located at the rear or side of the house and at least 2m from any side boundary if taller than 2.5m?,If No ? planning permission required; If Yes ? continue,Yes,Buildings located in front of the house or too close to boundaries require planning permission. Professional advice is recommended where site layout or boundaries are uncertain.,,
Question Set: Porch (PS8),,,,,,,,,
PS8-01,Porch – Max Projection,"GPDO 2015, Sch 2, Part 1, Class B",Max projection: 3m,Will the porch project more than 3m from the original wall?,If Yes ? planning permission required; If No ? continue,Yes,"If the porch projects more than 3 metres from the original wall, planning permission is required. Professional advice is recommended if measurements are unclear.",,
PS8-02,Porch – Max Height,"GPDO 2015, Sch 2, Part 1, Class B",Max height: 3m,Will the porch exceed 3m in height?,If Yes ? planning permission required; If No ? continue,Yes,Porches taller than 3 metres require planning permission. Professional advice is recommended to confirm height.,,
PS8-03,Porch – Frontage Coverage,"GPDO 2015, Sch 2, Part 1, Class B",Must not cover more than 50% of the frontage,Will the porch cover more than 50% of the frontage of the house?,If Yes ? planning permission required; If No ? continue,Yes,"If the porch would cover more than half of the frontage of the house, planning permission is required. Professional advice is recommended if frontage boundaries are unclear.",,
Question Set: Annex/Granny Flat (PS9),,,,,,,,,
PS9-01,Annex – Ancillary Use,"GPDO 2015, Sch 2, Part 1, Class E",Must be ancillary to main dwelling,Will the building be used as a separate dwelling or business?,If Yes ? planning permission required; If No ? continue,Yes,The annex must not be used as a separate dwelling or business. Professional advice is recommended if intended use is unclear.,,
PS9-02,Annex – Single-Storey,"GPDO 2015, Sch 2, Part 1, Class E",PD applies only for single-storey,Will the annex be more than one storey?,If Yes ? planning permission required; If No ? continue,Yes,Annexes taller than one storey require planning permission. Professional advice is recommended if plans are ambiguous.,,
PS9-03,Annex – Max Height,"GPDO 2015, Sch 2, Part 1, Class E","Maximum height: 4 metres, 3 metres if within 2 metres of boundary",Will the annex exceed 4 metres in height (or 3 metres if within 2 metres of a boundary)?,If Yes ? planning permission required; If No ? continue,Yes,Buildings exceeding these heights require planning permission. Professional advice is recommended for exact measurement.,,
PS9-04,Annex – Curtilage Coverage,"GPDO 2015, Sch 2, Part 1, Class E",Must not cover more than 50% of the garden/curtilage,Will the total area of the annex plus other outbuildings/extensions exceed 50% of the garden/curtilage?,If Yes ? planning permission required; If No ? continue,Yes,Annex plus other outbuildings must not exceed half of the garden. Professional advice recommended if boundaries are unclear.,,
PS9-05,Annex – Location,"GPDO 2015, Sch 2, Part 1, Class E",Must be at rear or side of main dwelling,Is the annex located at the front of the main dwelling?,If Yes ? planning permission required; If No ? continue,Yes,Annexes in front of the main dwelling are not PD. Professional advice is recommended if site layout is unclear.,,
Question Set: Flat Conversion – Limits and Checks (PS11),,,,,,,,,
PS11-01,Converting flats into a single dwelling,"GPDO 2015, Schedule 2, Part 3",The use of a building as a single dwellinghouse instead of multiple flats can be permitted,Are you converting more than one flat into a single home?,If Yes ? the change of use is permitted development; Building Control approval is required; If No ? continue,Yes,"Converting more than one flat into a single home is allowed as permitted development, provided no other works require planning permission. Building Control approval is always required, and professional advice is recommended to confirm compliance.",,
PS11-02,Maximum height for extension,"GPDO 2015, Schedule 2, Part 3",Height restrictions apply to extensions,"Will any extension exceed 4 metres in height, or 3 metres if it is within 2 metres of a boundary?",If Yes ? planning permission required; If No ? continue,Yes,Extensions that exceed these height limits are not allowed under permitted development. Professional advice is recommended if measurements are unclear.,,
PS11-03,Extension coverage of garden,"GPDO 2015, Schedule 2, Part 3",Extensions must not cover more than half of the garden,Will extensions and outbuildings cover more than 50 percent of the garden or curtilage?,If Yes ? planning permission required; If No ? continue,Yes,The total area of extensions and outbuildings must not cover more than half of the garden. Professional advice is recommended if boundaries are unclear.,,
PS11-04,Storey limits,"GPDO 2015, Schedule 2, Part 3",Extensions are limited by number of storeys,Will any extension be more than one storey?,If Yes ? planning permission required; If No ? continue,Yes,Extensions of more than one storey are not allowed under permitted development. Professional advice is recommended.,,
PS11-05,External alterations,"GPDO 2015, Schedule 2, Part 3",External changes may require planning permission,"Will the conversion involve external changes such as new windows, doors, extensions, or changes to the roof?",If Yes ? planning permission may be required; If No ? continue,Yes,"External changes are likely to require planning permission if they alter the appearance of the building, add new openings, extend the building, or affect the front or roof. Professional advice is recommended before making any external changes.",,
PS11-06,Structural work,"GPDO 2015, Schedule 2, Part 3",Structural alterations require Building Control approval,Does the conversion involve structural work?,If Yes ? Building Control approval required; If No ? continue,Yes,Any structural changes must meet Building Control requirements. Professional advice is recommended.,,
PS11-07,Fire safety and access,"GPDO 2015, Schedule 2, Part 3",Fire safety and access standards must be met,"Will the conversion affect fire safety or access, for example where the building has more than one storey?",If Yes ? Building Control approval or professional advice required; If No ? continue,Yes,"Fire safety and safe access must be addressed as part of the conversion. Building Control approval is required, and professional advice is strongly recommended.",,
